station,yyyy,mm,af,rain,sun,tmax,tmin
aberporth,1941,1,,74.7,,,
aberporth,1941,2,,69.1,,,
aberporth,1941,3,,76.2,,,
aberporth,1941,4,,33.7,,,
aberporth,1941,5,,51.3,,,
aberporth,1941,6,,25.7,,,
aberporth,1941,7,,53.9,,,
aberporth,1941,8,,91.8,,,
aberporth,1941,9,,25.5,,,
aberporth,1941,10,,106.2,,,
aberporth,1941,11,,92.3,,,
aberporth,1941,12,,86.5,,,
aberporth,1942,1,,114.0,58.0,5.8,2.1
aberporth,1942,2,,13.8,80.3,4.2,0.6
aberporth,1942,3,,58.0,117.9,9.7,3.7
aberporth,1942,4,,42.5,200.1,13.1,5.3
aberporth,1942,5,,101.1,215.1,14.0,6.9
aberporth,1942,6,,2.3,269.3,16.2,9.9
aberporth,1942,7,,70.2,185.0,17.4,11.3
aberporth,1942,8,,78.5,141.9,18.7,12.3
aberporth,1942,9,,146.8,129.1,16.4,10.7
aberporth,1942,10,,131.1,82.1,13.1,8.2
aberporth,1942,11,,19.8,62.9,9.2,4.6
aberporth,1942,12,,183.9,31.4,9.6,6.2
aberporth,1943,1,,176.7,41.4,8.2,3.5
aberporth,1943,2,,65.4,68.6,8.9,4.6
aberporth,1943,3,,21.0,156.2,10.2,4.1
aberporth,1943,4,,39.4,178.3,13.0,6.8
aberporth,1943,5,,83.5,233.3,14.1,7.4
aberporth,1943,6,,58.7,223.8,15.9,9.8
aberporth,1943,7,,57.3,240.5,18.6,11.7
aberporth,1943,8,,86.5,148.0,18.1,12.0
aberporth,1943,9,,127.1,110.6,15.8,10.0
aberporth,1943,10,,120.3,93.7,13.6,8.3
aberporth,1943,11,,93.0,47.4,9.7,5.9
aberporth,1943,12,,63.6,75.3,6.9,2.7
aberporth,1944,1,,87.9,23.7,9.2,5.8
aberporth,1944,2,,34.0,72.5,6.5,3.1
aberporth,1944,3,,17.0,153.2,8.6,3.1
aberporth,1944,4,,44.9,157.1,12.7,6.6
aberporth,1944,5,,37.2,242.3,13.8,7.0
aberporth,1944,6,,53.2,182.2,15.4,9.9
aberporth,1944,7,,54.5,112.7,18.2,12.6
aberporth,1944,8,,100.2,220.9,19.7,12.8
aberporth,1944,9,,80.7,132.7,15.7,10.3
aberporth,1944,10,,131.9,91.0,12.1,7.8
aberporth,1944,11,,156.2,28.9,9.5,5.8
aberporth,1944,12,,71.9,58.5,7.7,4.3
aberporth,1945,1,,58.8,58.1,4.5,1.3
aberporth,1945,2,,110.7,80.4,9.6,5.1
aberporth,1945,3,,34.3,124.1,10.4,5.2
aberporth,1945,4,,55.1,205.1,13.3,6.6
aberporth,1945,5,,82.8,166.3,14.3,8.3
aberporth,1945,6,,68.5,193.7,16.5,10.2
aberporth,1945,7,,130.6,130.0,17.4,12.2
aberporth,1945,8,,41.9,164.2,18.1,11.9
aberporth,1945,9,,61.2,101.0,17.1,11.3
aberporth,1945,10,,66.9,117.5,15.2,9.1
aberporth,1945,11,,34.7,78.4,10.7,5.6
aberporth,1945,12,,116.2,36.1,8.9,5.1
aberporth,1946,1,,138.0,67.6,6.9,2.2
aberporth,1946,2,,78.6,53.0,8.2,4.9
aberporth,1946,3,,28.9,146.9,8.7,2.6
aberporth,1946,4,,30.9,192.2,12.8,6.3
aberporth,1946,5,,59.3,236.5,14.1,6.7
aberporth,1946,6,,79.4,197.5,14.6,8.8
aberporth,1946,7,,62.6,186.8,17.1,11.2
aberporth,1946,8,,121.6,159.9,16.3,11.0
aberporth,1946,9,,103.1,105.7,16.3,11.3
aberporth,1946,10,,40.9,106.8,,8.2
aberporth,1946,11,,152.3,47.8,,7.6
aberporth,1946,12,,106.6,56.7,7.2,3.1
aberporth,1947,1,,122.9,78.0,5.8,1.4
aberporth,1947,2,,53.9,50.0,,2.7
aberporth,1947,3,,191.1,80.3,,2.2
aberporth,1947,4,,85.6,162.1,,5.1
aberporth,1947,5,,99.1,201.2,13.9,8.0
aberporth,1947,6,,67.4,161.5,17.0,10.4
aberporth,1947,7,,52.8,158.9,17.4,11.7
aberporth,1947,8,,20.2,278.3,21.4,13.2
aberporth,1947,9,,69.5,130.1,17.5,11.4
aberporth,1947,10,,29.9,136.9,14.2,8.0
aberporth,1947,11,,100.1,54.3,10.1,6.5
aberporth,1947,12,,92.9,29.7,7.7,4.9
aberporth,1948,1,,167.5,48.7,8.2,4.6
aberporth,1948,2,,56.8,89.6,7.4,2.9
aberporth,1948,3,,51.9,188.9,13.5,5.8
aberporth,1948,4,,36.4,213.7,11.4,4.8
aberporth,1948,5,,44.7,297.5,14.2,6.7
aberporth,1948,6,,59.4,145.0,14.7,9.8
aberporth,1948,7,,103.1,144.1,16.9,11.6
aberporth,1948,8,,102.4,146.7,17.0,11.8
aberporth,1948,9,,77.9,111.5,15.7,11.1
aberporth,1948,10,,87.4,93.6,13.3,8.5
aberporth,1948,11,,95.6,78.6,11.5,6.9
aberporth,1948,12,,175.9,87.2,8.5,4.2
aberporth,1949,1,,44.0,60.0,8.6,5.0
aberporth,1949,2,,36.6,105.0,8.7,4.4
aberporth,1949,3,,44.4,158.8,8.7,3.3
aberporth,1949,4,,74.8,161.9,,6.7
aberporth,1949,5,,67.9,247.2,13.4,6.6
aberporth,1949,6,,24.6,286.1,17.4,11.3
aberporth,1949,7,,45.0,267.5,19.9,12.5
aberporth,1949,8,,59.1,202.3,19.0,12.8
aberporth,1949,9,,28.3,188.4,19.5,12.5
aberporth,1949,10,,181.1,83.8,15.2,9.9
aberporth,1949,11,,147.6,63.8,10.2,6.1
aberporth,1949,12,,115.3,40.1,8.7,5.4
aberporth,1950,1,,29.9,66.6,7.3,3.2
aberporth,1950,2,,176.7,50.2,8.3,3.9
aberporth,1950,3,,57.5,147.7,10.8,4.8
aberporth,1950,4,,84.9,137.8,10.3,5.3
aberporth,1950,5,,60.5,243.0,14.7,7.6
aberporth,1950,6,,40.3,249.5,17.9,11.2
aberporth,1950,7,,63.4,190.2,17.9,12.0
aberporth,1950,8,,158.2,165.8,17.4,11.5
aberporth,1950,9,,208.8,100.7,15.3,10.7
aberporth,1950,10,,91.9,108.1,12.9,8.0
aberporth,1950,11,,170.3,69.5,9.1,4.8
aberporth,1950,12,,119.5,33.3,4.7,1.7
aberporth,1951,1,,89.3,49.7,6.7,3.2
aberporth,1951,2,,92.9,92.8,6.4,2.0
aberporth,1951,3,,112.6,87.9,6.9,2.2
aberporth,1951,4,,77.1,196.6,9.6,3.7
aberporth,1951,5,,65.7,188.7,12.5,6.3
aberporth,1951,6,,27.1,246.3,16.3,9.4
aberporth,1951,7,,78.0,227.3,18.3,11.8
aberporth,1951,8,,136.5,154.0,16.9,11.3
aberporth,1951,9,,112.1,78.3,16.4,11.8
aberporth,1951,10,,35.3,132.8,13.6,8.1
aberporth,1951,11,,168.8,59.1,11.0,7.2
aberporth,1951,12,,141.6,51.8,8.7,5.4
aberporth,1952,1,,122.6,63.8,6.2,2.8
aberporth,1952,2,,36.3,89.2,6.9,2.2
aberporth,1952,3,,49.1,112.7,9.4,4.7
aberporth,1952,4,,80.6,146.6,12.3,5.6
aberporth,1952,5,,112.7,203.6,15.2,8.9
aberporth,1952,6,,87.0,202.4,15.8,9.9
aberporth,1952,7,,49.1,170.5,18.6,12.4
aberporth,1952,8,,121.5,176.3,17.9,12.1
aberporth,1952,9,,113.1,147.3,14.2,8.8
aberporth,1952,10,,115.7,116.9,12.5,8.0
aberporth,1952,11,,93.0,64.9,7.8,4.3
aberporth,1952,12,,96.1,56.4,6.9,3.1
aberporth,1953,1,,43.1,56.2,6.8,2.9
aberporth,1953,2,,46.6,55.1,7.4,2.8
aberporth,1953,3,,60.0,165.9,9.8,2.4
aberporth,1953,4,,66.8,213.4,10.2,4.0
aberporth,1953,5,,55.1,228.8,15.2,8.6
aberporth,1953,6,,58.7,221.6,15.7,9.6
aberporth,1953,7,,60.5,217.1,17.2,11.7
aberporth,1953,8,,83.5,201.8,18.3,12.2
aberporth,1953,9,,110.3,148.7,16.2,11.2
aberporth,1953,10,,82.0,126.9,13.6,7.8
aberporth,1953,11,,126.5,63.3,11.2,7.4
aberporth,1953,12,,42.6,48.6,10.1,7.0
aberporth,1954,1,,78.6,69.3,6.3,2.9
aberporth,1954,2,,72.8,93.0,6.4,1.5
aberporth,1954,3,,83.2,134.8,9.1,3.8
aberporth,1954,4,,21.7,237.0,11.3,4.2
aberporth,1954,5,,83.4,160.7,13.3,7.6
aberporth,1954,6,,86.2,181.9,15.3,9.7
aberporth,1954,7,,64.2,126.3,15.8,11.1
aberporth,1954,8,,83.4,149.7,16.1,11.2
aberporth,1954,9,,90.1,171.7,15.3,10.2
aberporth,1954,10,,189.1,55.0,14.1,10.3
aberporth,1954,11,,232.3,58.4,10.4,5.9
aberporth,1954,12,,102.2,42.5,9.2,6.2
aberporth,1955,1,,70.2,46.7,6.1,2.4
aberporth,1955,2,,48.6,88.1,4.6,0.2
aberporth,1955,3,,83.5,195.8,6.9,0.5
aberporth,1955,4,,59.9,186.3,11.9,5.4
aberporth,1955,5,,70.1,207.6,12.6,6.9
aberporth,1955,6,,94.1,189.3,16.5,10.9
aberporth,1955,7,,14.7,342.1,19.2,11.6
aberporth,1955,8,,29.9,240.6,21.3,14.0
aberporth,1955,9,,58.9,170.6,17.2,11.6
aberporth,1955,10,,72.0,122.4,12.9,8.0
aberporth,1955,11,,55.7,94.2,10.3,5.2
aberporth,1955,12,,130.2,35.7,9.1,5.6
aberporth,1956,1,,102.0,52.3,7.1,3.6
aberporth,1956,2,,18.9,113.4,3.4,1.8
aberporth,1956,3,,33.4,189.4,10.6,3.9
aberporth,1956,4,,24.2,179.9,10.6,3.8
