                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     2    NaN   NaN   NaN   69.1    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     3    NaN   NaN   NaN   76.2    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     4    NaN   NaN   NaN   33.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     5    NaN   NaN   NaN   51.3    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     6    NaN   NaN   NaN   25.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     7    NaN   NaN   NaN   53.9    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     8    NaN   NaN   NaN   91.8    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     9    NaN   NaN   NaN   25.5    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     10   NaN   NaN   NaN  106.2    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     11   NaN   NaN   NaN   92.3    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     12   NaN   NaN   NaN   86.5    NaN  133.0  52.139000 -4.570000   224100E 252100N
                1942 1    5.8   2.1   NaN  114.0   58.0  133.0  52.139000 -4.570000   224100E 252100N
                     2    4.2   0.6   NaN   13.8   80.3  133.0  52.139000 -4.570000   224100E 252100N
                     3    9.7   3.7   NaN   58.0  117.9  133.0  52.139000 -4.570000   224100E 252100N
                     4   13.1   5.3   NaN   42.5  200.1  133.0  52.139000 -4.570000   224100E 252100N
                     5   14.0   6.9   NaN  101.1  215.1  133.0  52.139000 -4.570000   224100E 252100N
                     6   16.2   9.9   NaN    2.3  269.3  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.4  11.3   NaN   70.2  185.0  133.0  52.139000 -4.570000   224100E 252100N
                     8   18.7  12.3   NaN   78.5  141.9  133.0  52.139000 -4.570000   224100E 252100N
                     9   16.4  10.7   NaN  146.8  129.1  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.1   8.2   NaN  131.1   82.1  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.2   4.6   NaN   19.8   62.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   9.6   6.2   NaN  183.9   31.4  133.0  52.139000 -4.570000   224100E 252100N
                1943 1    8.2   3.5   NaN  176.7   41.4  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.9   4.6   NaN   65.4   68.6  133.0  52.139000 -4.570000   224100E 252100N
                     3   10.2   4.1   NaN   21.0  156.2  133.0  52.139000 -4.570000   224100E 252100N
                     4   13.0   6.8   NaN   39.4  178.3  133.0  52.139000 -4.570000   224100E 252100N
                     5   14.1   7.4   NaN   83.5  233.3  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.9   9.8   NaN   58.7  223.8  133.0  52.139000 -4.570000   224100E 252100N
                     7   18.6  11.7   NaN   57.3  240.5  133.0  52.139000 -4.570000   224100E 252100N
                     8   18.1  12.0   NaN   86.5  148.0  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.8  10.0   NaN  127.1  110.6  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.6   8.3   NaN  120.3   93.7  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.7   5.9   NaN   93.0   47.4  133.0  52.139000 -4.570000   224100E 252100N
                     12   6.9   2.7   NaN   63.6   75.3  133.0  52.139000 -4.570000   224100E 252100N
                1944 1    9.2   5.8   NaN   87.9   23.7  133.0  52.139000 -4.570000   224100E 252100N
                     2    6.5   3.1   NaN   34.0   72.5  133.0  52.139000 -4.570000   224100E 252100N
                     3    8.6   3.1   NaN   17.0  153.2  133.0  52.139000 -4.570000   224100E 252100N
                     4   12.7   6.6   NaN   44.9  157.1  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.8   7.0   NaN   37.2  242.3  133.0  52.139000 -4.570000   224100E 252100N
                     6   15.4   9.9   NaN   53.2  182.2  133.0  52.139000 -4.570000   224100E 252100N
                     7   18.2  12.6   NaN   54.5  112.7  133.0  52.139000 -4.570000   224100E 252100N
                     8   19.7  12.8   NaN  100.2  220.9  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.7  10.3   NaN   80.7  132.7  133.0  52.139000 -4.570000   224100E 252100N
                     10  12.1   7.8   NaN  131.9   91.0  133.0  52.139000 -4.570000   224100E 252100N
                     11   9.5   5.8   NaN  156.2   28.9  133.0  52.139000 -4.570000   224100E 252100N
                     12   7.7   4.3   NaN   71.9   58.5  133.0  52.139000 -4.570000   224100E 252100N
